 PEAK VALUE Output  --------  CD            1

        1   HOUR Average  CONCENTRATION Values at Selected Receptors  (ng/m**3)    
       19   Receptors are Included

 PD START TIME
 YYYY JDY HHMM   (I , J)  T     X(km)      Y(km)  

 2017 246 2000     0   0         0.000      0.000  0.000000E+00
 2017 246 2100     0   0         0.000      0.000  0.000000E+00
 2017 246 2200     0   0         0.000      0.000  0.000000E+00
 2017 246 2300     0   0         0.000      0.000  0.000000E+00
 2017 247 0000     0   0         0.000      0.000  0.000000E+00
 2017 247 0100     0   0         0.000      0.000  0.000000E+00
 2017 247 0200     0   0         0.000      0.000  0.000000E+00
 2017 247 0300     0   0         0.000      0.000  0.000000E+00
 2017 247 0400     0   0         0.000      0.000  0.000000E+00
 2017 247 0500     0   0         0.000      0.000  0.000000E+00
 2017 247 0600     0   0         0.000      0.000  0.000000E+00
 2017 247 0700     0   0         0.000      0.000  0.000000E+00
 2017 247 0800     0   0         0.000      0.000  0.000000E+00
 2017 247 0900     0   0         0.000      0.000  0.000000E+00
 2017 247 1000     0   0         0.000      0.000  0.000000E+00
 2017 247 1100     0   0         0.000      0.000  0.000000E+00
 2017 247 1200     0   0         0.000      0.000  0.000000E+00
 2017 247 1300     0   0         0.000      0.000  0.000000E+00
 2017 247 1400     0   0         0.000      0.000  0.000000E+00
 2017 247 1500     0   0         0.000      0.000  0.000000E+00
 2017 247 1600     0   0         0.000      0.000  0.000000E+00
 2017 247 1700     0   0         0.000      0.000  0.000000E+00
 2017 247 1800     0   0         0.000      0.000  0.000000E+00
 2017 247 1900     0   0         0.000      0.000  0.000000E+00
 2017 247 2000     0   0         0.000      0.000  0.000000E+00
 2017 247 2100     0   0         0.000      0.000  0.000000E+00
 2017 247 2200     0   0         0.000      0.000  0.000000E+00
 2017 247 2300     0   0         0.000      0.000  0.000000E+00
 2017 248 0000     0   0         0.000      0.000  0.000000E+00
 2017 248 0100     0   0         0.000      0.000  0.000000E+00
 2017 248 0200     0   0         0.000      0.000  0.000000E+00
 2017 248 0300     0   0         0.000      0.000  0.000000E+00
 2017 248 0400     0   0         0.000      0.000  0.000000E+00
 2017 248 0500     0   0         0.000      0.000  0.000000E+00
 2017 248 0600     0   0         0.000      0.000  0.000000E+00
 2017 248 0700     0   0         0.000      0.000  0.000000E+00
 2017 248 0800     0   0         0.000      0.000  0.000000E+00
 2017 248 0900     0   0         0.000      0.000  0.000000E+00
 2017 248 1000     0   0         0.000      0.000  0.000000E+00
 2017 248 1100     0   0         0.000      0.000  0.000000E+00
 2017 248 1200     0   0         0.000      0.000  0.000000E+00
 2017 248 1300     0   0         0.000      0.000  0.000000E+00
 2017 248 1400     0   0         0.000      0.000  0.000000E+00
 2017 248 1500     0   0         0.000      0.000  0.000000E+00
 2017 248 1600     0   0         0.000      0.000  0.000000E+00
 2017 248 1700     0   0         0.000      0.000  0.000000E+00
 2017 248 1800     0   0         0.000      0.000  0.000000E+00
 2017 248 1900     0   0         0.000      0.000  0.000000E+00
 2017 248 2000     0   0         0.000      0.000  0.000000E+00
 2017 248 2100     0   0         0.000      0.000  0.000000E+00
 2017 248 2200     0   0         0.000      0.000  0.000000E+00
 2017 248 2300     0   0         0.000      0.000  0.000000E+00
 2017 249 0000     0   0         0.000      0.000  0.000000E+00
 2017 249 0100     0   0         0.000      0.000  0.000000E+00
 2017 249 0200     0   0         0.000      0.000  0.000000E+00
 2017 249 0300     0   0         0.000      0.000  0.000000E+00
 2017 249 0400     0   0         0.000      0.000  0.000000E+00
 2017 249 0500     0   0         0.000      0.000  0.000000E+00
 2017 249 0600     0   0         0.000      0.000  0.000000E+00
 2017 249 0700     0   0         0.000      0.000  0.000000E+00
 2017 249 0800     0   0         0.000      0.000  0.000000E+00
 2017 249 0900     0   0         0.000      0.000  0.000000E+00
 2017 249 1000     0   0         0.000      0.000  0.000000E+00
 2017 249 1100     0   0         0.000      0.000  0.000000E+00
 2017 249 1200     0   0         0.000      0.000  0.000000E+00
 2017 249 1300     0   0         0.000      0.000  0.000000E+00
 2017 249 1400     0   0         0.000      0.000  0.000000E+00
 2017 249 1500     0   0         0.000      0.000  0.000000E+00
